Economy,Scenario,Date,Population,Gdp,Gdp_per_capita
01_AUS,Reference,2022,26046.256,1372739.281,52.70390037000001
01_AUS,Reference,2023,26355.407,1398668.628,53.06951351
01_AUS,Reference,2024,26703.514280000003,1423872.478,53.321539
01_AUS,Reference,2025,27051.3428,1452512.099,53.69463949
01_AUS,Reference,2026,27398.10251,1483745.484,54.15504535
01_AUS,Reference,2027,27742.93124,1517587.792,54.70178253
01_AUS,Reference,2028,28114.65939,1551314.665,55.17814189
01_AUS,Reference,2029,28483.51415,1584565.893,55.630983070000006
01_AUS,Reference,2030,28848.09875,1619319.6849999998,56.1326311
01_AUS,Reference,2031,29208.68307,1654167.194,56.63272081
01_AUS,Reference,2032,29565.06531,1691229.656,57.20365026
01_AUS,Reference,2033,29935.34479,1727888.896,57.720694640000005
01_AUS,Reference,2034,30302.00025,1765428.591,58.26112388
01_AUS,Reference,2035,30666.01281,1804195.068,58.833702290000005
01_AUS,Reference,2036,31026.03139,1844028.284,59.43487457
01_AUS,Reference,2037,31383.19577,1884895.943,60.06067569
01_AUS,Reference,2038,31738.7426,1926754.761,60.70671373
01_AUS,Reference,2039,32091.38093,1969742.067,61.37916193
01_AUS,Reference,2040,32442.3479,2014034.376,62.0804136
01_AUS,Reference,2041,32791.75083,2059121.203,62.79387807
01_AUS,Reference,2042,33139.85718,2105022.745,63.51936684
01_AUS,Reference,2043,33488.40752,2151816.751,64.25557112
01_AUS,Reference,2044,33836.76487,2199492.936,65.00305049
01_AUS,Reference,2045,34184.94991,2248065.462,65.76184746000001
01_AUS,Reference,2046,34532.59423,2297533.187,66.53230777
01_AUS,Reference,2047,34879.743950000004,2347910.869,67.31445253
01_AUS,Reference,2048,35226.43823,2399213.26,68.1083124
01_AUS,Reference,2049,35572.32032,2451439.017,68.91422868000001
01_AUS,Reference,2050,35918.19759,2504634.638,69.73163482000001
01_AUS,Reference,2051,36264.42342,2558829.913,70.56033632
01_AUS,Reference,2052,36611.94238,2614081.222,71.39968687000001
01_AUS,Reference,2053,36962.53311,2670484.185,72.24840833
01_AUS,Reference,2054,37317.51039,2728119.814,73.10562217
01_AUS,Reference,2055,37675.81109,2786968.076,73.97234445999999
01_AUS,Reference,2056,38037.38066,2847051.441,74.84877748000001
01_AUS,Reference,2057,38403.22172,2908440.721,75.73428974
01_AUS,Reference,2058,38776.00374,2971287.043,76.62695369
01_AUS,Reference,2059,39152.02357,3035454.277,77.52994609
01_AUS,Reference,2060,39533.08823,3101054.257,78.44199369
01_AUS,Reference,2061,39918.18586,3168071.075,79.36410452999999
01_AUS,Reference,2062,40309.24053,3236627.514,80.29492671
01_AUS,Reference,2063,40703.41718,3306621.491,81.23695058999999
01_AUS,Reference,2064,41101.898140000005,3378140.025,82.18939215
01_AUS,Reference,2065,41503.33283,3451148.409,83.15352463
01_AUS,Reference,2066,41908.66523,3525723.629,84.1287502
01_AUS,Reference,2067,42316.10938,3601807.158,85.11668986
01_AUS,Reference,2068,42724.83347,3679383.929,86.11815729
01_AUS,Reference,2069,43137.47197,3758617.516,87.13114941
01_AUS,Reference,2070,43552.38962000001,3839455.87,88.15718042
01_AUS,Reference,2071,43967.06552,3921794.034,89.1984486
01_AUS,Reference,2072,44381.01484,4005628.187,90.25544371
01_AUS,Reference,2073,44795.07992,4091025.652,91.32756676
01_AUS,Reference,2074,45210.56583,4178082.997,92.41386213
01_AUS,Reference,2075,45626.75418000001,4266788.824,93.51506373
01_AUS,Reference,2076,46043.55777000001,4357165.144,94.63137419
01_AUS,Reference,2077,46459.87289,4449175.623,95.76383546
01_AUS,Reference,2078,46875.64583,4542840.802,96.91260188
01_AUS,Reference,2079,47292.138490000005,4638258.734999999,98.07673925
01_AUS,Reference,2080,47709.5388,4735469.251,99.25623619
01_AUS,Reference,2081,48129.6426,4834610.363,100.4497458
01_AUS,Reference,2082,48550.40995,4935594.501999999,101.6591725
01_AUS,Reference,2083,48972.37069,5038880.227,102.8923076
01_AUS,Reference,2084,49396.541090000006,5144573.325,104.1484527
01_AUS,Reference,2085,49825.6104,5252890.889,105.4255201
01_AUS,Reference,2086,50261.39381,5364007.62,106.7222218
01_AUS,Reference,2087,50699.30803,5477693.378,108.0427641
01_AUS,Reference,2088,51143.06592,5594241.75,109.3841687
01_AUS,Reference,2089,51591.38719,5713633.830999999,110.7478233
01_AUS,Reference,2090,52046.18793,5836060.808,112.1323394
01_AUS,Reference,2091,52509.34696,5961722.397,113.5364034
01_AUS,Reference,2092,52980.496450000006,6090674.626999999,114.9606938
01_AUS,Reference,2093,53459.1796,6222967.245,116.4059623
01_AUS,Reference,2094,53947.6241,6358839.273,117.8706084
01_AUS,Reference,2095,54442.7094,6498160.539,119.3577728
01_AUS,Reference,2096,54944.64301,6641027.33,120.8676036
01_AUS,Reference,2097,55456.40225,6787742.285999999,122.3978118
01_AUS,Reference,2098,55972.58208,6938003.233,123.9536033
01_AUS,Reference,2099,56493.01533000001,7091873.938,125.5354117
01_AUS,Reference,2100,57021.96813,7249756.981,127.1397186
01_AUS,Target,2022,26046.256,1372739.281,52.70390037000001
